,id,date,store_nbr,family,sales,onpromotion
535121,535121,2013-10-28,23,PET SUPPLIES,0.0,0
2167797,2167797,2016-05-04,33,PLAYERS AND ELECTRONICS,4.0,0
1663653,1663653,2015-07-25,38,MEATS,205.956,0
2184463,2184463,2016-05-13,50,POULTRY,417.836,38
2775907,2775907,2017-04-11,46,GROCERY II,34.0,0
1165663,1165663,2014-10-18,16,BOOKS,0.0,0
315202,315202,2013-06-26,52,LADIESWEAR,0.0,0
2882874,2882874,2017-06-10,47,PLAYERS AND ELECTRONICS,45.0,9
2131383,2131383,2016-04-14,12,GROCERY I,2278.0,29
1302442,1302442,2015-01-03,52,SCHOOL AND OFFICE SUPPLIES,0.0,0
1016215,1016215,2014-07-26,22,GROCERY II,0.0,0
564896,564896,2013-11-14,1,BEAUTY,1.0,0
726856,726856,2014-02-13,52,SCHOOL AND OFFICE SUPPLIES,0.0,0
112480,112480,2013-03-05,15,HOME AND KITCHEN II,0.0,0
1835358,1835358,2015-10-29,6,PRODUCE,1751.199,0
2793066,2793066,2017-04-21,28,GROCERY I,3637.992,77
2364996,2364996,2016-08-23,17,HOME CARE,279.0,5
1910972,1910972,2015-12-11,28,DAIRY,397.0,4
2567664,2567664,2016-12-14,53,AUTOMOTIVE,7.0,0
1529313,1529313,2015-05-11,19,PLAYERS AND ELECTRONICS,0.0,0
2770180,2770180,2017-04-08,35,POULTRY,26.878,0
963829,963829,2014-06-26,51,SCHOOL AND OFFICE SUPPLIES,0.0,0
1230979,1230979,2014-11-23,48,GROCERY II,92.0,0
1604766,1604766,2015-06-22,36,DELI,260.989,0
314282,314282,2013-06-26,27,MAGAZINES,0.0,0
2514011,2514011,2016-11-14,48,BREAD/BAKERY,730.0,8
1416418,1416418,2015-03-08,50,PERSONAL CARE,792.0,0
2434612,2434612,2016-10-01,20,BOOKS,0.0,0
929942,929942,2014-06-07,51,BEAUTY,10.0,0
2026374,2026374,2016-02-15,16,DELI,220.0,1
115975,115975,2013-03-07,13,GROCERY II,4.0,0
2467247,2467247,2016-10-19,36,BEAUTY,5.0,0
1359789,1359789,2015-02-05,12,MEATS,167.183,16
1206888,1206888,2014-11-10,22,GROCERY I,0.0,0
1121769,1121769,2014-09-23,34,AUTOMOTIVE,1.0,0
789613,789613,2014-03-21,14,"LIQUOR,WINE,BEER",92.0,0
2680809,2680809,2017-02-17,28,LINGERIE,10.0,0
1287569,1287569,2014-12-26,36,DAIRY,607.0,3
704921,704921,2014-02-01,38,DAIRY,1420.0,0
2167126,2167126,2016-05-04,15,HOME AND KITCHEN II,21.0,0
1662887,1662887,2015-07-25,17,HOME APPLIANCES,0.0,0
2910333,2910333,2017-06-26,18,PRODUCE,1384.364,1
2621897,2621897,2017-01-15,25,HARDWARE,3.0,0
271723,271723,2013-06-02,33,BABY CARE,0.0,0
318080,318080,2013-06-28,33,PET SUPPLIES,0.0,0
787015,787015,2014-03-19,40,SCHOOL AND OFFICE SUPPLIES,0.0,0
1487613,1487613,2015-04-17,49,CELEBRATION,0.0,0
1277195,1277195,2014-12-19,44,PREPARED FOODS,406.29498,1
1944605,1944605,2015-12-31,21,HARDWARE,1.0,0
895179,895179,2014-05-19,26,LINGERIE,2.0,0
1692992,1692992,2015-08-11,11,PET SUPPLIES,2.0,0
558055,558055,2013-11-10,17,PERSONAL CARE,217.0,0
1536917,1536917,2015-05-15,32,DAIRY,114.0,0
1817484,1817484,2015-10-19,54,DELI,239.0,0
1976706,1976706,2016-01-18,22,CELEBRATION,6.0,0
79888,79888,2013-02-14,5,POULTRY,210.361,0
1350989,1350989,2015-01-31,16,BEAUTY,1.0,0
2513435,2513435,2016-11-14,31,MAGAZINES,1.0,0
1845420,1845420,2015-11-04,38,PLAYERS AND ELECTRONICS,9.0,0
41607,41607,2013-01-24,26,PLAYERS AND ELECTRONICS,0.0,0
225436,225436,2013-05-07,34,GROCERY II,4.0,0
1462603,1462603,2015-04-03,47,EGGS,379.0,29
143161,143161,2013-03-22,26,CLEANING,430.0,0
2045204,2045204,2016-02-25,43,PREPARED FOODS,28.0,0
1879428,1879428,2015-11-23,42,GROCERY I,2269.0,27
2571315,2571315,2016-12-16,6,LINGERIE,2.0,0
956369,956369,2014-06-22,42,PREPARED FOODS,0.0,0
1286488,1286488,2014-12-24,6,HOME AND KITCHEN II,11.0,0
975982,975982,2014-07-03,43,CLEANING,1316.0,1
1936625,1936625,2015-12-26,47,LAWN AND GARDEN,27.0,0
1065688,1065688,2014-08-23,10,LADIESWEAR,0.0,0
1577875,1577875,2015-06-07,31,GROCERY II,8.0,0
2308859,2308859,2016-07-22,41,HARDWARE,2.0,0
1586056,1586056,2015-06-12,11,EGGS,66.0,0
335089,335089,2013-07-08,11,CLEANING,2470.0,0
294115,294115,2013-06-15,11,LADIESWEAR,0.0,0
24082,24082,2013-01-14,34,PERSONAL CARE,281.0,0
2787330,2787330,2017-04-18,17,HOME CARE,325.0,10
1827412,1827412,2015-10-25,33,BOOKS,0.0,0
2469217,2469217,2016-10-20,40,PERSONAL CARE,252.0,4
43204,43204,2013-01-25,21,CLEANING,0.0,0
567154,567154,2013-11-15,22,HOME AND KITCHEN II,0.0,0
1788938,1788938,2015-10-03,53,DAIRY,380.0,1
1269286,1269286,2014-12-15,23,CLEANING,522.0,0
2923183,2923183,2017-07-03,29,EGGS,358.0,21
2952646,2952646,2017-07-19,6,BOOKS,0.0,0
416121,416121,2013-08-22,34,MEATS,209.591,0
306643,306643,2013-06-22,13,CLEANING,1041.0,0
1049615,1049615,2014-08-14,1,HOME APPLIANCES,0.0,0
1945366,1945366,2015-12-31,42,HOME AND KITCHEN II,11.0,1
208607,208607,2013-04-28,12,HARDWARE,0.0,0
2993212,2993212,2017-08-11,43,GROCERY II,33.0,0
1325916,1325916,2015-01-17,12,DELI,239.0,0
2118426,2118426,2016-04-06,48,MEATS,692.217,1
1264741,1264741,2014-12-12,45,HOME AND KITCHEN II,22.0,0
2260344,2260344,2016-06-25,30,DELI,113.0,5
725071,725071,2014-02-12,52,POULTRY,0.0,0
838719,838719,2014-04-17,41,MEATS,77.473,0
1609422,1609422,2015-06-25,17,GROCERY I,2345.0,0
148222,148222,2013-03-25,18,LADIESWEAR,0.0,0
1882073,1882073,2015-11-25,17,HOME APPLIANCES,0.0,0
2473299,2473299,2016-10-22,6,HOME AND KITCHEN I,36.0,0
2377691,2377691,2016-08-30,23,DAIRY,416.0,6
253885,253885,2013-05-23,32,HOME AND KITCHEN II,0.0,0
1796413,1796413,2015-10-08,13,PERSONAL CARE,116.0,0
1168188,1168188,2014-10-19,36,LINGERIE,0.0,0
1196597,1196597,2014-11-04,33,HOME APPLIANCES,0.0,0
795042,795042,2014-03-24,17,CELEBRATION,5.0,0
2431473,2431473,2016-09-29,32,AUTOMOTIVE,2.0,0
355995,355995,2013-07-19,47,MEATS,942.876,0
37607,37607,2013-01-22,14,LAWN AND GARDEN,0.0,0
1143381,1143381,2014-10-05,4,PRODUCE,4473.243,1
1846487,1846487,2015-11-05,19,BREAD/BAKERY,177.0,0
1017422,1017422,2014-07-26,6,SEAFOOD,39.042,0
2309638,2309638,2016-07-23,14,BABY CARE,0.0,0
2262764,2262764,2016-06-26,48,LAWN AND GARDEN,5.0,0
1321847,1321847,2015-01-14,47,SEAFOOD,66.531,0
1967764,1967764,2016-01-13,21,CLEANING,754.0,2
80389,80389,2013-02-15,15,BABY CARE,0.0,0
2807417,2807417,2017-04-29,30,DAIRY,295.0,15
2259999,2259999,2016-06-25,20,PLAYERS AND ELECTRONICS,6.0,0
1965100,1965100,2016-01-11,46,HOME AND KITCHEN II,100.0,1
2202500,2202500,2016-05-23,8,HARDWARE,1.0,0
1412949,1412949,2015-03-06,53,LINGERIE,3.0,0
1491838,1491838,2015-04-20,18,CLEANING,621.0,3
246150,246150,2013-05-19,16,BEVERAGES,888.0,0
549529,549529,2013-11-05,28,GROCERY II,7.0,0
2161655,2161655,2016-05-01,11,MAGAZINES,17.0,0
635241,635241,2013-12-23,32,MEATS,45.759,0
296652,296652,2013-06-16,32,HOME AND KITCHEN I,0.0,0
712481,712481,2014-02-05,5,FROZEN FOODS,96.735,0
875442,875442,2014-05-08,22,HOME CARE,0.0,0
115504,115504,2013-03-06,5,BOOKS,0.0,0
2039468,2039468,2016-02-22,33,BEAUTY,3.0,0
2672571,2672571,2017-02-12,47,AUTOMOTIVE,37.0,5
1360826,1360826,2015-02-05,41,BREAD/BAKERY,344.439,0
1768058,1768058,2015-09-22,18,HOME APPLIANCES,0.0,0
2594726,2594726,2016-12-31,13,BEAUTY,4.0,0
660185,660185,2014-01-07,32,LAWN AND GARDEN,0.0,0
867090,867090,2014-05-03,38,HOME AND KITCHEN I,0.0,0
1137161,1137161,2014-10-02,16,HARDWARE,0.0,0
94554,94554,2013-02-23,12,DELI,186.0,0
1864806,1864806,2015-11-15,32,DELI,134.0,0
1440178,1440178,2015-03-22,18,PERSONAL CARE,264.0,0
1748853,1748853,2015-09-11,29,HOME CARE,169.0,4
2740524,2740524,2017-03-22,53,CELEBRATION,31.0,0
1816067,1816067,2015-10-19,15,FROZEN FOODS,79.0,0
1831054,1831054,2015-10-27,35,HOME AND KITCHEN II,13.0,0
2949229,2949229,2017-07-18,1,LADIESWEAR,19.0,0
2942996,2942996,2017-07-14,34,MAGAZINES,1.0,0
1370798,1370798,2015-02-11,21,FROZEN FOODS,0.0,0
2944395,2944395,2017-07-15,24,BEVERAGES,4589.0,44
843358,843358,2014-04-20,22,EGGS,0.0,0
1592122,1592122,2015-06-15,31,BOOKS,0.0,0
2939757,2939757,2017-07-12,43,HOME CARE,205.0,11
2120919,2120919,2016-04-08,19,DELI,288.0,49
476021,476021,2013-09-25,15,PREPARED FOODS,23.0,0
996682,996682,2014-07-15,24,HOME AND KITCHEN II,0.0,0
84719,84719,2013-02-17,36,DAIRY,0.0,0
1050825,1050825,2014-08-14,43,CELEBRATION,0.0,0
1567418,1567418,2015-06-01,38,HOME APPLIANCES,0.0,0
802907,802907,2014-03-28,37,HOME APPLIANCES,0.0,0
1565134,1565134,2015-05-31,24,EGGS,267.0,1
22596,22596,2013-01-13,42,MEATS,0.0,0
1203104,1203104,2014-11-08,16,MAGAZINES,0.0,0
2390536,2390536,2016-09-06,33,HOME AND KITCHEN II,10.0,1
1082785,1082785,2014-09-01,4,"LIQUOR,WINE,BEER",38.0,0
1660597,1660597,2015-07-23,52,BOOKS,0.0,0
1253118,1253118,2014-12-06,2,DELI,322.215,1
2713644,2713644,2017-03-07,49,LINGERIE,18.0,0
446127,446127,2013-09-08,27,AUTOMOTIVE,3.0,0
1420950,1420950,2015-03-11,29,BEVERAGES,0.0,0
1709688,1709688,2015-08-20,3,MEATS,559.729,1
1224687,1224687,2014-11-20,21,MEATS,0.0,0
735817,735817,2014-02-18,54,HOME AND KITCHEN II,0.0,0
1623307,1623307,2015-07-02,7,BOOKS,0.0,0
2003178,2003178,2016-02-02,15,GROCERY I,3102.0,1
2244926,2244926,2016-06-16,48,BEAUTY,5.0,0
2595321,2595321,2016-12-31,3,BEVERAGES,10561.0,70
2376417,2376417,2016-08-29,37,LINGERIE,0.0,0
2567145,2567145,2016-12-14,39,DELI,196.266,9
1760558,1760558,2015-09-17,8,DAIRY,1053.0,2
2258627,2258627,2016-06-24,32,DAIRY,140.0,3
288704,288704,2013-06-12,1,LAWN AND GARDEN,8.0,0
1606492,1606492,2015-06-23,34,LADIESWEAR,0.0,0
1232136,1232136,2014-11-24,30,HOME AND KITCHEN I,5.0,0
894634,894634,2014-05-19,11,BOOKS,0.0,0
2495875,2495875,2016-11-04,39,LADIESWEAR,5.0,0
984538,984538,2014-07-08,33,HOME AND KITCHEN II,18.0,0
1566245,1566245,2015-05-31,54,SEAFOOD,1.0,0
1937163,1937163,2015-12-27,12,PRODUCE,258.126,0
2491160,2491160,2016-11-01,7,MAGAZINES,12.0,0
2846623,2846623,2017-05-21,30,EGGS,142.0,0
59896,59896,2013-02-03,4,BABY CARE,0.0,0
1714317,1714317,2015-08-23,10,AUTOMOTIVE,4.0,0
972101,972101,2014-07-01,34,LAWN AND GARDEN,2.0,0
354233,354233,2013-07-18,48,FROZEN FOODS,125.378,0
1874175,1874175,2015-11-20,45,CELEBRATION,54.0,0
1667843,1667843,2015-07-27,6,MAGAZINES,1.0,0
2856479,2856479,2017-05-26,7,SEAFOOD,42.388,6
1797648,1797648,2015-10-08,48,CELEBRATION,23.0,0
1474739,1474739,2015-04-10,38,BEAUTY,5.0,0
252200,252200,2013-05-22,35,HARDWARE,2.0,0
2748493,2748493,2017-03-27,27,"LIQUOR,WINE,BEER",59.0,2
1323411,1323411,2015-01-15,41,GROCERY I,1904.0,6
1172176,1172176,2014-10-21,48,HOME AND KITCHEN II,8.0,0
2282007,2282007,2016-07-07,38,MEATS,103.747,0
519812,519812,2013-10-19,43,PREPARED FOODS,40.0,0
691185,691185,2014-01-24,52,AUTOMOTIVE,0.0,0
2725342,2725342,2017-03-14,28,BOOKS,0.0,0
2038270,2038270,2016-02-21,49,PERSONAL CARE,714.0,0
574905,574905,2013-11-19,4,GROCERY I,2194.0,0
947689,947689,2014-06-17,49,POULTRY,703.633,0
2606101,2606101,2017-01-06,31,PERSONAL CARE,372.0,12
2354271,2354271,2016-08-17,16,HOME CARE,153.0,4
1060925,1060925,2014-08-20,27,DAIRY,715.0,4
1609681,1609681,2015-06-25,24,CLEANING,953.0,1
2885748,2885748,2017-06-12,28,PRODUCE,1196.772,0
1668739,1668739,2015-07-28,30,POULTRY,85.868004,0
1548250,1548250,2015-05-21,5,"LIQUOR,WINE,BEER",57.0,0
2170267,2170267,2016-05-05,52,"LIQUOR,WINE,BEER",0.0,0
2383222,2383222,2016-09-02,28,POULTRY,248.803,17
2518423,2518423,2016-11-17,21,POULTRY,113.278,1
2821030,2821030,2017-05-07,12,PERSONAL CARE,246.0,17
280660,280660,2013-06-07,33,POULTRY,126.873,0
1592846,1592846,2015-06-15,51,BEAUTY,7.0,1
1240457,1240457,2014-11-29,14,LAWN AND GARDEN,0.0,0
659661,659661,2014-01-07,18,MEATS,78.835,0
1025942,1025942,2014-07-31,45,BREAD/BAKERY,825.249,0
127535,127535,2013-03-13,37,MAGAZINES,0.0,0
2995239,2995239,2017-08-12,5,PLAYERS AND ELECTRONICS,6.0,0
716463,716463,2014-02-08,12,AUTOMOTIVE,4.0,0
2276167,2276167,2016-07-04,24,PERSONAL CARE,284.0,1
184348,184348,2013-04-14,31,EGGS,108.0,0
230977,230977,2013-05-10,4,EGGS,152.0,0
2111218,2111218,2016-04-02,46,EGGS,324.0,1
2339651,2339651,2016-08-08,6,HOME APPLIANCES,0.0,0
1080618,1080618,2014-08-31,3,AUTOMOTIVE,5.0,0
2621971,2621971,2017-01-15,27,"LIQUOR,WINE,BEER",173.0,3
2901462,2901462,2017-06-21,2,BEVERAGES,2556.0,35
736293,736293,2014-02-19,18,PRODUCE,0.0,0
271564,271564,2013-06-02,29,CLEANING,0.0,0
2496438,2496438,2016-11-04,54,LINGERIE,2.0,0
570510,570510,2013-11-17,17,CELEBRATION,0.0,0
2688379,2688379,2017-02-21,40,BABY CARE,0.0,0
2173858,2173858,2016-05-07,53,HOME AND KITCHEN II,40.0,9
1967872,1967872,2016-01-13,24,HOME AND KITCHEN II,67.0,2
913043,913043,2014-05-29,27,SEAFOOD,11.3880005,0
1118771,1118771,2014-09-21,5,BREAD/BAKERY,574.004,0
1120966,1120966,2014-09-23,11,"LIQUOR,WINE,BEER",11.0,0
1622004,1622004,2015-07-02,2,LINGERIE,4.0,0
2290018,2290018,2016-07-12,13,HOME AND KITCHEN II,6.0,0
857984,857984,2014-04-28,32,HOME APPLIANCES,0.0,0
861285,861285,2014-04-30,25,HOME CARE,0.0,0
1332192,1332192,2015-01-20,38,HOME AND KITCHEN I,11.0,0
35289,35289,2013-01-20,49,GROCERY I,4651.0,0
2536946,2536946,2016-11-27,41,BREAD/BAKERY,634.238,7
1666685,1666685,2015-07-27,23,LAWN AND GARDEN,0.0,0
2853306,2853306,2017-05-25,18,PLAYERS AND ELECTRONICS,1.0,0
120801,120801,2013-03-09,48,LINGERIE,8.0,0
12911,12911,2013-01-08,21,DAIRY,0.0,0
2994380,2994380,2017-08-12,26,PET SUPPLIES,4.0,0
1073207,1073207,2014-08-27,21,HARDWARE,0.0,0
2729750,2729750,2017-03-16,50,MAGAZINES,7.0,0
2339321,2339321,2016-08-08,46,HOME APPLIANCES,1.0,0
2685198,2685198,2017-02-19,50,LINGERIE,15.0,0
2250289,2250289,2016-06-19,48,LADIESWEAR,51.0,0
2299765,2299765,2016-07-17,36,POULTRY,155.085,1
2475634,2475634,2016-10-24,21,CLEANING,1176.0,16
2107198,2107198,2016-03-31,33,HOME AND KITCHEN II,12.0,0
907976,907976,2014-05-26,35,HARDWARE,1.0,0
1027914,1027914,2014-08-01,5,PRODUCE,8.0,0
1566185,1566185,2015-05-31,53,BREAD/BAKERY,880.322,2
2070663,2070663,2016-03-10,9,GROCERY I,5256.805,21
1318858,1318858,2015-01-13,14,GROCERY II,0.0,0
1503709,1503709,2015-04-26,5,SCHOOL AND OFFICE SUPPLIES,0.0,0
2304640,2304640,2016-07-20,23,LADIESWEAR,9.0,0
1977691,1977691,2016-01-18,5,BABY CARE,0.0,0
2317132,2317132,2016-07-27,24,BOOKS,0.0,0
2745336,2745336,2017-03-25,39,AUTOMOTIVE,13.0,2
2401850,2401850,2016-09-12,50,FROZEN FOODS,117.821,0
145704,145704,2013-03-23,47,DELI,748.802,0
2125352,2125352,2016-04-10,42,LAWN AND GARDEN,16.0,0
2304540,2304540,2016-07-20,20,HOME CARE,293.0,9
577500,577500,2013-11-21,13,AUTOMOTIVE,2.0,0
1265399,1265399,2014-12-13,14,HARDWARE,0.0,0
2989395,2989395,2017-08-09,36,MEATS,209.556,0
1182471,1182471,2014-10-27,37,HOME AND KITCHEN I,20.0,0
940273,940273,2014-06-13,41,BOOKS,0.0,0
1310485,1310485,2015-01-08,29,"LIQUOR,WINE,BEER",0.0,0
636214,636214,2013-12-24,10,CLEANING,1155.0,0
1419360,1419360,2015-03-10,33,PRODUCE,0.0,0
227745,227745,2013-05-08,49,GROCERY I,3517.0,0
1839429,1839429,2015-11-01,20,DELI,633.718,0
2030655,2030655,2016-02-17,36,AUTOMOTIVE,6.0,0
1637906,1637906,2015-07-11,16,HOME APPLIANCES,0.0,0
623871,623871,2013-12-17,14,CELEBRATION,0.0,0
1858312,1858312,2015-11-11,5,HOME AND KITCHEN II,31.0,1
2827316,2827316,2017-05-10,39,DAIRY,712.0,148
2387837,2387837,2016-09-04,8,MAGAZINES,16.0,0
1431264,1431264,2015-03-17,18,LINGERIE,5.0,0
1441887,1441887,2015-03-23,16,HOME CARE,0.0,0
2263931,2263931,2016-06-27,30,SEAFOOD,5.0,0
170887,170887,2013-04-06,53,GROCERY II,0.0,0
450761,450761,2013-09-10,7,HARDWARE,2.0,0
153773,153773,2013-03-28,23,PET SUPPLIES,0.0,0
1824855,1824855,2015-10-24,11,LINGERIE,11.0,0
830587,830587,2014-04-13,14,EGGS,32.0,0
379389,379389,2013-08-01,53,LINGERIE,0.0,0
1665637,1665637,2015-07-26,43,POULTRY,183.621,0
1205783,1205783,2014-11-09,40,PREPARED FOODS,48.0,0
352731,352731,2013-07-17,6,PLAYERS AND ELECTRONICS,0.0,0
1254192,1254192,2014-12-06,49,PLAYERS AND ELECTRONICS,34.0,0
459687,459687,2013-09-15,7,PRODUCE,23.0,0
851400,851400,2014-04-24,48,AUTOMOTIVE,10.0,0
1873296,1873296,2015-11-20,20,HOME CARE,167.0,0
1595278,1595278,2015-06-17,2,PERSONAL CARE,239.0,1
381126,381126,2013-08-02,52,DELI,0.0,0
278965,278965,2013-06-06,36,HOME AND KITCHEN II,0.0,0
416273,416273,2013-08-22,39,FROZEN FOODS,40.0,0
1138753,1138753,2014-10-03,10,"LIQUOR,WINE,BEER",10.0,0
961988,961988,2014-06-25,50,BREAD/BAKERY,423.258,0
86169,86169,2013-02-18,27,CELEBRATION,0.0,0
1821432,1821432,2015-10-22,15,PRODUCE,619.841,0
1418631,1418631,2015-03-10,13,PLAYERS AND ELECTRONICS,0.0,0
1225695,1225695,2014-11-20,5,DELI,242.274,2
1519483,1519483,2015-05-05,42,SCHOOL AND OFFICE SUPPLIES,0.0,0
1730036,1730036,2015-08-31,50,FROZEN FOODS,115.0,3
1806136,1806136,2015-10-13,36,GROCERY II,8.0,0
42750,42750,2013-01-24,9,HOME AND KITCHEN I,0.0,0
426332,426332,2013-08-28,21,BREAD/BAKERY,0.0,0
2546016,2546016,2016-12-02,46,AUTOMOTIVE,12.0,2
227657,227657,2013-05-08,46,MAGAZINES,0.0,0
2453328,2453328,2016-10-11,45,DELI,440.056,0
1679582,1679582,2015-08-03,35,HARDWARE,3.0,0
2424102,2424102,2016-09-25,25,LINGERIE,0.0,0
2408641,2408641,2016-09-16,41,BOOKS,0.0,0
963565,963565,2014-06-26,44,SCHOOL AND OFFICE SUPPLIES,0.0,0
2290575,2290575,2016-07-12,29,GROCERY I,2897.286,38
2210108,2210108,2016-05-28,20,SEAFOOD,15.664,3
1735698,1735698,2015-09-04,1,PRODUCE,2358.388,0
2683124,2683124,2017-02-18,42,PET SUPPLIES,12.0,0
1045213,1045213,2014-08-11,36,BOOKS,0.0,0
800881,800881,2014-03-27,30,BOOKS,0.0,0
2226063,2226063,2016-06-06,19,HOME AND KITCHEN I,10.0,0
2780288,2780288,2017-04-14,2,BREAD/BAKERY,600.0,6
2618266,2618266,2017-01-13,23,GROCERY II,28.0,0
1678795,1678795,2015-08-03,13,LADIESWEAR,12.0,0
626429,626429,2013-12-18,35,MAGAZINES,0.0,0
133106,133106,2013-03-16,43,HOME APPLIANCES,0.0,0
750085,750085,2014-02-26,54,POULTRY,17.67,0
658823,658823,2014-01-06,44,FROZEN FOODS,429.764,0
362928,362928,2013-07-23,41,PLAYERS AND ELECTRONICS,0.0,0
2395294,2395294,2016-09-09,17,"LIQUOR,WINE,BEER",60.0,2
2980051,2980051,2017-08-04,24,LADIESWEAR,16.0,0
1563448,1563448,2015-05-30,27,CLEANING,1244.0,2
1167818,1167818,2014-10-19,26,HARDWARE,0.0,0
2352418,2352418,2016-08-16,14,GROCERY II,5.0,0
891117,891117,2014-05-17,12,HOME CARE,0.0,0
2306376,2306376,2016-07-21,22,CELEBRATION,4.0,0
2248848,2248848,2016-06-18,8,PRODUCE,6705.419,1
1590861,1590861,2015-06-14,45,PRODUCE,9364.96,3
2470582,2470582,2016-10-21,3,BOOKS,4.0,0
300798,300798,2013-06-18,49,BEVERAGES,1668.0,0
3889,3889,2013-01-03,18,POULTRY,105.737,0
2239145,2239145,2016-06-13,35,PREPARED FOODS,12.0,0
2650717,2650717,2017-01-31,33,PERSONAL CARE,236.0,6
1761541,1761541,2015-09-18,35,BABY CARE,0.0,0
150824,150824,2013-03-26,40,HARDWARE,2.0,0
538292,538292,2013-10-30,12,PREPARED FOODS,12.0,0
2158477,2158477,2016-04-29,22,GROCERY II,5.0,0
2891171,2891171,2017-06-15,30,DAIRY,205.0,18
1077441,1077441,2014-08-29,4,MEATS,555.37,45
826,826,2013-01-01,32,BABY CARE,0.0,0
1027433,1027433,2014-08-01,37,FROZEN FOODS,181.6,0
1229153,1229153,2014-11-22,47,BEAUTY,11.0,0
2809361,2809361,2017-04-30,35,BREAD/BAKERY,123.0,34
1466679,1466679,2015-04-06,11,PLAYERS AND ELECTRONICS,0.0,0
1588720,1588720,2015-06-13,36,BABY CARE,0.0,0
636156,636156,2013-12-23,9,HOME AND KITCHEN I,0.0,0
823029,823029,2014-04-08,51,DELI,170.451,0
745426,745426,2014-02-24,24,"LIQUOR,WINE,BEER",101.0,0
741618,741618,2014-02-22,18,DELI,268.691,0
808925,808925,2014-03-31,6,PREPARED FOODS,108.572,0
1777888,1777888,2015-09-27,43,GROCERY II,0.0,0
980263,980263,2014-07-06,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
1268300,1268300,2014-12-14,45,FROZEN FOODS,2115.451,8
1159492,1159492,2014-10-14,42,BOOKS,0.0,0
2091277,2091277,2016-03-22,37,BABY CARE,0.0,0
730004,730004,2014-02-15,41,FROZEN FOODS,204.0,0
2853007,2853007,2017-05-25,1,PERSONAL CARE,105.0,5
1443384,1443384,2015-03-23,8,PRODUCE,0.0,0
2618869,2618869,2017-01-13,4,"LIQUOR,WINE,BEER",98.0,2
2617695,2617695,2017-01-12,8,BEVERAGES,4567.0,38
2716449,2716449,2017-03-09,28,LINGERIE,2.0,0
16887,16887,2013-01-10,32,MEATS,76.636,0
2095384,2095384,2016-03-24,51,HOME AND KITCHEN II,10.0,0
1480161,1480161,2015-04-13,4,GROCERY I,2633.0,9
2444274,2444274,2016-10-06,40,PRODUCE,832.892,2
